Turn	Rank_First	Rank_Second	Rank_Third
Ses02M_impro07_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_3_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_M022	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro08_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro08_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro06_M011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro01_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_F040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro04_F015	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01F_impro05_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_1_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro03_M025	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro07_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro02_F012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_F024	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05F_script03_1_M027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_3_F002	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro07_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_F025	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_script03_2_F050	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_script02_1_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_1_M001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script02_1_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_3_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_M056	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_F025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_M030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_M003	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro07_F047	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script03_2_M032	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro03_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_2_F015	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script03_1_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script03_1_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro07_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro07_M008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_impro02_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro05_F001	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_script03_2_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro03_F004	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro05_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro07_M010	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_impro05_F033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_2_M044	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script01_2_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script03_2_F026	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04F_impro03_M023	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02M_script01_3_M006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_F000	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_impro04_F010	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro05_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08b_M017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro08a_M001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro06_M016	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_script01_1_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_2_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_F012	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro04_M034	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro07_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_M001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_1_M023	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro07_M043	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro02_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_F008	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03M_script03_1_M028	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro04_M004	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_script01_1_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro02_M006	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_1_M037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_1_M009	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro07_F006	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro07_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_1_M039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro03_F004	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04M_script01_2_F013	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_script02_1_F006	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script02_2_F039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro07_F030	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script02_1_M009	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05M_impro07_F043	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_script03_1_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro07_F019	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_impro07_M022	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_script02_2_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro03_M001	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_impro07_M032	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_impro01_M004	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro07_F006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script01_1_M023	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro02_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_1_M028	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_impro07_F019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro03_F013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script01_1_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1_F010	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_impro01_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_1_F008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_script01_1_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_1_F041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_1_M000	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script02_2_M028	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_impro05_M029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_1_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_F022	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_script01_1_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M041	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro02_M019	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script01_1_F038	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script01_2_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_2_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_F012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_M037	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script03_2_M039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script03_2_M020	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro01_F000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_script02_1_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script01_1_F004	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_impro08_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro08_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro08_F008	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro02_M006	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro07_M002	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_impro02_M002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_2_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_1_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script03_1_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_M046	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro07_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_M001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro02_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro07_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script02_2_M017	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_script02_2_M016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro06_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro07_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
